index	x_in	y_out_i32	sample14
0	0	0	0
1	349	172	43
2	845	409	102
3	1301	620	155
4	1672	787	197
5	1983	924	231
6	2369	1090	273
7	2834	1284	321
8	3334	1485	371
9	3750	1646	412
10	4206	1817	454
11	4660	1981	495
12	5157	2153	538
13	5601	2300	575
14	5976	2420	605
15	6396	2549	637
16	6837	2679	670
17	7287	2805	701
18	7703	2916	729
19	8023	2998	750
20	8459	3105	776
21	8936	3215	804
22	9447	3325	831
23	9845	3405	851
24	10266	3485	871
25	10613	3546	887
26	10934	3600	900
27	11349	3665	916
28	11769	3725	931
29	12151	3775	944
30	12562	3824	956
31	12938	3864	966
32	13259	3895	974
33	13632	3927	982
34	14064	3959	990
35	14498	3985	996
36	14901	4004	1001
37	15293	4018	1005
38	15643	4026	1007
39	15980	4031	1008
40	16626	4035	1009
41	17132	4051	1013
42	17667	4082	1021
43	18186	4126	1032
44	18709	4184	1046
45	19245	4258	1065
46	19756	4342	1086
47	20300	4446	1112
48	20840	4564	1141
49	21346	4688	1172
50	21884	4834	1209
51	22420	4994	1249
52	22951	5167	1292
53	23486	5356	1339
54	23993	5548	1387
55	24557	5777	1444
56	25087	6007	1502
57	25584	6236	1559
58	26118	6495	1624
59	26628	6757	1689
60	27101	7011	1753
61	27559	7268	1817
62	28035	7546	1887
63	28545	7857	1964
64	29005	8149	2037
65	29479	8460	2115
66	30010	8823	2206
67	30507	9176	2294
68	30964	9511	2378
69	31418	9854	2464
70	31931	10255	2564
71	32442	10667	2667
72	32447	10672	2668
73	32894	11043	2761
74	33406	11481	2870
75	33898	11915	2979
76	34402	12371	3093
77	34417	12386	3097
78	34831	12771	3193
79	35334	13250	3313
80	35370	13286	3322
81	35753	13660	3415
82	36247	14153	3538
83	36739	14658	3665
84	37177	15117	3779
85	37700	15678	3920
86	38193	16220	4055
87	38734	16828	4207
88	38752	16850	4213
89	39116	17267	4317
90	39446	17653	4413
91	39716	17971	4493
92	40201	18553	4638
93	40697	19161	4790
94	41176	19760	4940
95	41658	20374	5094
96	42156	21021	5255
97	42538	21526	5382
98	43000	22146	5537
99	43006	22155	5539
100	43155	22357	5589
101	43611	22983	5746
102	44207	23818	5955
103	44720	24551	6138
104	44730	24566	6142
105	45133	25151	6288
106	45539	25749	6437
107	45553	25770	6443
108	46028	26480	6620
109	46347	26964	6741
110	46670	27459	6865
111	46943	27882	6971
112	47308	28452	7113
113	47577	28878	7220
114	47866	29338	7335
115	48105	29722	7431
116	48432	30252	7563
117	48605	30535	7634
118	48935	31078	7770
119	49031	31238	7810
120	49306	31696	7924
121	49714	32383	8096
122	50159	33142	8286
123	50660	34008	8502
124	50665	34018	8505
125	50979	34567	8642
126	51460	35419	8855
127	51480	35455	8864
128	51803	36034	9009
129	51966	36328	9082
130	52285	36908	9227
131	52435	37182	9296
132	52816	37884	9471
133	53272	38733	9683
134	53277	38743	9686
135	53385	38946	9737
136	53735	39607	9902
137	54160	40418	10105
138	54165	40428	10107
139	54519	41111	10278
140	54544	41159	10290
141	54863	41780	10445
142	54889	41832	10458
143	55103	42251	10563
144	55132	42309	10577
145	55236	42514	10629
146	55495	43026	10757
147	55601	43238	10810
148	55932	43899	10975
149	55947	43931	10983
150	56023	44082	11021
151	56030	44098	11025
152	56046	44129	11032
153	56125	44289	11072
154	56230	44501	11125
155	56549	45149	11287
156	56568	45189	11297
157	56581	45214	11304
158	56585	45224	11306
159	56612	45277	11319
160	56613	45281	11320
161	56626	45306	11327
162	56634	45324	11331
163	56647	45349	11337
164	56658	45373	11343
165	56732	45524	11381
166	56856	45779	11445
167	56887	45843	11461
168	56897	45862	11466
169	56908	45886	11472
170	57027	46131	11533
171	57243	46578	11645
172	57363	46828	11707
173	57426	46959	11740
174	57728	47591	11898
175	57789	47720	11930
176	57795	47731	11933
177	57808	47759	11940
178	57947	48052	12013
179	58151	48484	12121
180	58520	49270	12318
181	58542	49318	12330
182	58769	49805	12451
183	59050	50412	12603
184	59408	51191	12798
185	59451	51286	12822
186	59477	51342	12836
187	59531	51461	12865
188	59883	52235	13059
189	60267	53087	13272
190	60269	53093	13273
191	60295	53150	13288
192	60636	53913	13478
193	60642	53927	13482
194	60815	54317	13579
195	61153	55082	13771
196	61664	56251	14063
197	61839	56654	14164
198	61862	56708	14177
199	61895	56783	14196
200	61896	56787	14197
201	61933	56871	14218
202	61934	56875	14219
203	61975	56968	14242
204	61976	56972	14243
205	62013	57056	14264
206	62014	57060	14265
207	62044	57128	14282
208	62045	57132	14283
209	62079	57209	14302
210	62080	57213	14303
211	62397	57950	14488
212	62400	57958	14490
213	62436	58041	14510
214	62437	58045	14511
215	62474	58130	14533
216	62475	58134	14534
217	62513	58221	14555
218	62514	58225	14556
219	62530	58261	14565
220	62531	58265	14566
221	62578	58374	14594
222	62587	58396	14599
223	62813	58927	14732
224	62815	58933	14733
225	62832	58971	14743
226	62833	58975	14744
227	62870	59061	14765
228	62875	59074	14769
229	63029	59437	14859
230	63031	59443	14861
231	63064	59520	14880
232	63065	59524	14881
233	63078	59553	14888
234	63080	59559	14890
235	63302	60086	15022
236	63597	60791	15198
237	63603	60806	15202
238	63767	61200	15300
239	63804	61289	15322
240	64102	62009	15502
241	64118	62047	15512
242	64124	62062	15516
243	64193	62230	15558
244	64224	62305	15576
245	64429	62804	15701
246	64707	63484	15871
247	65110	64477	16119
248	65130	64527	16132
249	65400	65197	16299
250	65456	65337	16334
251	65493	65429	16357
252	65518	65491	16373
253	65530	65521	16380
254	65535	65534	16383
255	81791	65534	16383
